# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "4" "-s" "2" "-p" "-B" "-C" "-t" "exon" "-g" "gene_name" "-a" "/scratch/evt82290/MappingOutputs/RNAseq_split/GCA_000182925.2_NC12_genomic_GFFtoGTFconversion.flipped.gtf" "-o" "/scratch/evt82290/MappingOutputs/RNAseq_split/counts/149-116_RNA_cac-1__Rep2_S140/149-116_RNA_cac-1__Rep2_S140.antisense.txt" "/scratch/evt82290/MappingOutputs/RNAseq_split/bamFiles/149-116_RNA_cac-1__Rep2_S140/149-116_RNA_cac-1__Rep2_S140_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/evt82290/MappingOutputs/RNAseq_split/bamFiles/149-116_RNA_cac-1__Rep2_S140/149-116_RNA_cac-1__Rep2_S140_Aligned.sortedByCoord.out.bam
NCU10897	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	2653006;2653226;2653373;2653474;2653645	2653163;2653282;2653417;2653558;2653904	-;-;-;-;-	605	0
arp-5	CM002239.1;CM002239.1;CM002239.1;CM002239.1	2653996;2654605;2654982;2656819	2654504;2654925;2656738;2657196	-;-;-;-	2965	0
NCU06393	CM002239.1	2657753	2660692	+	2940	0
NCU06391	CM002239.1;CM002239.1	2665042;2666690	2666594;2667952	-;-	2816	7
NCU06390	CM002239.1;CM002239.1;CM002239.1	2669747;2671438;2671789	2671301;2671734;2673850	-;-;-	3914	0
NCU06389	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	2674000;2674000;2675672;2675672;2677091;2677091;2677231;2677231;2678212	2675596;2675596;2677035;2677035;2677169;2677169;2678214;2678146;2678491	+;+;+;+;+;+;+;+;+	4301	21
NCU06387	CM002239.1;CM002239.1	2684752;2685149	2685077;2687176	-;-	2354	0
NCU06386	CM002239.1;CM002239.1	2689466;2690040	2689939;2691700	-;-	2135	204
NCU06385	CM002239.1;CM002239.1;CM002239.1;CM002239.1	2692099;2692697;2693231;2693507	2692643;2693159;2693428;2694152	-;-;-;-	1852	0
NCU06384	CM002239.1;CM002239.1;CM002239.1	2694657;2694943;2696179	2694859;2696054;2696462	+;+;+	1599	0
NCU06383	CM002239.1;CM002239.1	2697191;2697662	2697589;2698947	-;-	1685	21
NCU16793	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	2698362;2698362;2700045;2700045;2700569;2700569;2701043	2699969;2699969;2700453;2700453;2701018;2700977;2701150	+;+;+;+;+;+;+	2575	226
NCU06382	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	2701735;2702941;2703280;2703916;2704430;2707056	2702860;2703207;2703814;2704276;2706993;2707569	+;+;+;+;+;+	5367	150
NCU06381	CM002239.1;CM002239.1;CM002239.1	2708224;2708921;2709739	2708839;2709681;2710199	-;-;-	1838	239
NCU06380	CM002239.1;CM002239.1;CM002239.1	2714109;2714707;2715404	2714605;2715332;2716288	-;-;-	2008	88
NCU14095	CM002239.1;CM002239.1	2717236;2717553	2717488;2717926	-;-	627	0
NCU06376	CM002239.1	2738897	2741292	-	2396	124
NCU06375	CM002239.1;CM002239.1	2741158;2742145	2742069;2743124	+;+	1892	52
NCU06374	CM002239.1;CM002239.1	2743473;2743987	2743897;2746881	+;+	3320	14
NCU06373	CM002239.1;CM002239.1;CM002239.1	2747580;2749040;2750154	2748960;2750095;2751078	+;+;+	3362	22
NCU06372	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	2752118;2752118;2752194;2753026;2753026;2754142;2754142;2754142	2752939;2753981;2752964;2753981;2753981;2754248;2754248;2754248	+;+;+;+;+;+;+;+	1971	2
NCU06371	CM002239.1;CM002239.1	2754447;2757067	2756995;2757336	+;+	2819	0
NCU06370	CM002239.1;CM002239.1	2757666;2757973	2757901;2758899	-;-	1163	2
NCU16794	CM002239.1	2758824	2759625	-	802	14
NCU06369	CM002239.1	2759529	2762232	+	2704	6
NCU06368	CM002239.1	2762484	2763655	-	1172	3
NCU06367	CM002239.1;CM002239.1;CM002239.1	2763558;2764298;2765032	2764152;2764907;2765425	+;+;+	1599	13
NCU06366	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	2765568;2765617;2766792;2766792;2767090;2767090;2768116	2766717;2766717;2767019;2767019;2768250;2767854;2768213	+;+;+;+;+;+;+	2539	0
NCU06365	CM002239.1;CM002239.1	2769230;2771417	2771337;2773212	+;+	3904	90
NCU06364	CM002239.1;CM002239.1;CM002239.1	2774096;2774609;2775425	2774551;2775318;2775797	-;-;-	1539	0
NCU06363	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	2776144;2777959;2778342;2778342;2779052;2779052	2777907;2778184;2778987;2778987;2780141;2780197	-;-;-;-;-;-	3782	12
NCU06362	CM002239.1;CM002239.1;CM002239.1	2781989;2783716;2784453	2783606;2784335;2787027	-;-;-	4813	26
NCU06361	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	2789321;2789464;2789617;2789696;2789696;2790054;2790054;2790172;2790172;2790172;2790396;2790396;2790396	2789538;2789538;2789874;2789874;2789874;2790086;2790086;2790333;2790333;2790333;2791675;2791675;2791814	-;-;-;-;-;-;-;-;-;-;-;-;-	2090	0
NCU15164	CM002239.1	2791750	2791834	-	85	0
NCU06360	CM002239.1;CM002239.1	2792033;2793413	2793341;2793717	+;+	1614	8
NCU06359	CM002239.1	2794147	2795713	+	1567	8
NCU06358	CM002239.1;CM002239.1;CM002239.1;CM002239.1	2795914;2797146;2797502;2798138	2797030;2797418;2798071;2798939	+;+;+;+	2762	6
NCU06355	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	2803609;2805486;2806828;2807019;2807380;2807552	2805427;2806772;2806918;2807300;2807469;2808095	+;+;+;+;+;+	4113	4
NCU06354	CM002239.1;CM002239.1;CM002239.1;CM002239.1	2808450;2808824;2808906;2809045	2808759;2808850;2808974;2809527	-;-;-;-	889	355
NCU06353	CM002239.1;CM002239.1	2809271;2810055	2809994;2810360	+;+	1030	984
NCU06352	CM002239.1;CM002239.1	2811127;2813503	2813448;2814687	-;-	3507	2
pht-1	CM002239.1;CM002239.1	2815146;2816130	2816065;2817977	-;-	2768	0
NCU06350	CM002239.1;CM002239.1;CM002239.1;CM002239.1	2818203;2818362;2818753;2818938	2818223;2818576;2818813;2818946	+;+;+;+	306	4
NCU06349	CM002239.1;CM002239.1	2820466;2821202	2821086;2822566	-;-	1986	2
NCU06348	CM002239.1;CM002239.1	2822611;2823104	2822995;2824213	-;-	1495	66
NCU15165	CM002239.1	2824215	2824288	+	74	2
NCU06347	CM002239.1;CM002239.1;CM002239.1	2824764;2825526;2825834	2825411;2825760;2826765	-;-;-	1815	8
NCU06346	CM002239.1;CM002239.1;CM002239.1;CM002239.1	2827380;2827685;2827994;2828258	2827608;2827800;2828061;2828781	-;-;-;-	937	23
NCU06345	CM002239.1;CM002239.1	2828729;2830451	2830391;2831352	+;+	2565	9
NCU06344	CM002239.1;CM002239.1;CM002239.1	2831511;2832183;2834105	2832113;2834031;2835170	-;-;-	3518	4
NCU06343	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	2835561;2835720;2836057;2836057;2837024	2835914;2835914;2836722;2836802;2837413	+;+;+;+;+	1490	2
NCU06342	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	2838902;2839525;2839620;2839818;2839887;2840199;2840395;2840546;2840855;2841008	2839464;2839564;2839753;2839828;2840145;2840342;2840494;2840800;2840957;2842806	-;-;-;-;-;-;-;-;-;-	3408	0
NCU06341	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	2843246;2843252;2844844;2844844;2844920;2844920;2845354;2845354;2845461	2844783;2844783;2844861;2844861;2845285;2845285;2845887;2845400;2845887	+;+;+;+;+;+;+;+;+	2456	0
NCU15166	CM002239.1	2850356	2850429	-	74	0
NCU06340	CM002239.1	2850727	2852574	-	1848	14
NCU06339	CM002239.1;CM002239.1	2854775;2857007	2856948;2857076	+;+	2244	0
NCU06338	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	2862291;2862291;2863034;2863034;2866725;2866725	2862854;2862885;2866669;2866669;2869082;2869082	-;-;-;-;-;-	6589	2
NCU06337	CM002239.1	2869151	2871575	+	2425	4
NCU06336	CM002239.1	2871615	2874309	+	2695	2
NCU06335	CM002239.1;CM002239.1	2874833;2875807	2875720;2876407	-;-	1489	4
NCU06334	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	2876800;2876845;2878906;2879775;2879775	2878848;2879718;2879718;2880300;2880088	+;+;+;+;+	3445	0
NCU06333	CM002239.1;CM002239.1;CM002239.1	2882158;2883174;2883823	2883110;2883745;2884520	-;-;-	2223	107
NCU06332	CM002239.1;CM002239.1	2884455;2886398	2886311;2886876	+;+	2336	12
NCU06331	CM002239.1	2887684	2890493	-	2810	0
NCU06330	CM002239.1	2890712	2892762	-	2051	0
NCU06329	CM002239.1;CM002239.1	2893434;2894760	2894371;2897217	-;-	3396	6
NCU15167	CM002239.1	2898231	2898302	-	72	0
NCU06328	CM002239.1;CM002239.1;CM002239.1;CM002239.1	2898675;2899944;2900181;2900673	2899847;2900061;2900547;2901635	+;+;+;+	2621	0
NCU06327	CM002239.1;CM002239.1;CM002239.1;CM002239.1	2904592;2905534;2905766;2906096	2905453;2905706;2906018;2907521	-;-;-;-	2714	54
NCU06326	CM002239.1;CM002239.1;CM002239.1;CM002239.1	2907628;2908060;2908528;2908807	2907998;2908461;2908704;2909306	-;-;-;-	1450	2
NCU06325	CM002239.1;CM002239.1;CM002239.1	2910217;2910700;2911341	2910621;2911267;2911622	-;-;-	1255	10
NCU06324	CM002239.1;CM002239.1;CM002239.1;CM002239.1	2912700;2913922;2914243;2914606	2913833;2914149;2914529;2916031	-;-;-;-	3075	0
NCU06322	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	2918541;2918541;2918909;2918909;2919949;2920107;2920107	2918837;2918837;2919975;2919872;2919975;2922805;2921368	-;-;-;-;-;-;-	4063	20
NCU06321	CM002239.1	2920449	2923923	+	3475	152
NCU06320	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	2925492;2925492;2925492;2925854;2925990;2925990;2925990;2927341;2927341;2927341	2925932;2925928;2925776;2925932;2927176;2927176;2927176;2928220;2928220;2928220	-;-;-;-;-;-;-;-;-;-	2508	4
gh76-4	CM002239.1;CM002239.1;CM002239.1;CM002239.1	2928950;2929870;2930165;2930763	2929752;2930099;2930659;2930822	+;+;+;+	1588	0
NCU06318	CM002239.1	2931894	2935916	+	4023	0
NCU06317	CM002239.1;CM002239.1	2936289;2936627	2936549;2937767	-;-	1402	71
NCU06316	CM002239.1;CM002239.1;CM002239.1	2937712;2938923;2939393	2938872;2939304;2940554	+;+;+	2705	2
NCU06315	CM002239.1;CM002239.1;CM002239.1	2942035;2942329;2942724	2942658;2944223;2944415	-;-;-	2381	0
NCU06314	CM002239.1;CM002239.1;CM002239.1	2944689;2946030;2946394	2945958;2946296;2947136	-;-;-	2280	2
NCU06313	CM002239.1;CM002239.1;CM002239.1	2950162;2950479;2950960	2950386;2950782;2951026	+;+;+	596	0
gpr-4	CM002239.1;CM002239.1	2953113;2954432	2954374;2956776	-;-	3607	10
NCU06311	CM002239.1;CM002239.1	2956746;2957260	2957155;2958175	+;+	1326	23
NCU06310	CM002239.1;CM002239.1	2958674;2959059	2958961;2960394	-;-	1624	104
NCU06309	CM002239.1;CM002239.1	2960296;2961053	2960985;2962770	+;+	2408	54
cyt-5	CM002239.1	2963252	2968356	-	5105	0
NCU06307	CM002239.1	2968670	2970504	+	1835	8
crf5-1	CM002239.1;CM002239.1	2971270;2972322	2972247;2974564	-;-	3221	8
NCU06305	CM002239.1;CM002239.1;CM002239.1	2978909;2979476;2980273	2979413;2980208;2980969	-;-;-	1935	52
NCU06304	CM002239.1	2981241	2983126	-	1886	0
NCU06303	CM002239.1;CM002239.1	2983195;2984387	2984300;2984690	+;+	1410	12
ecd-1	CM002239.1	2984864	2988503	+	3640	1242
NCU06301	CM002239.1	2988423	2989218	-	796	6
NCU06300	CM002239.1;CM002239.1;CM002239.1;CM002239.1	2989364;2989541;2989837;2990191	2989465;2989763;2990131;2991020	-;-;-;-	1450	0
NCU06299	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	2991934;2992185;2992252;2992429;2992814;2993390;2993809	2992086;2992196;2992314;2992747;2992831;2993411;2993962	+;+;+;+;+;+;+	741	0
NCU06298	CM002239.1	2996094	2996381	+	288	0
NCU06296	CM002239.1;CM002239.1;CM002239.1;CM002239.1	2999707;3000066;3000757;3000897	2999994;3000683;3000831;3003118	-;-;-;-	3203	49
NCU06294	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3004977;3005310;3005735;3006345;3011733;3012260;3012769;3014528	3005175;3005649;3006269;3011675;3012196;3012704;3014466;3015599	-;-;-;-;-;-;-;-	10084	0
NCU06293	CM002239.1;CM002239.1;CM002239.1	3017071;3017849;3018494	3017736;3017907;3018533	+;+;+	765	2
NCU06290	CM002239.1;CM002239.1;CM002239.1	3020532;3021050;3022589	3020998;3022415;3023456	-;-;-	2701	64
NCU06289	CM002239.1	3022503	3023327	+	825	126
NCU06288	CM002239.1	3023799	3024389	+	591	0
NCU06287	CM002239.1	3025834	3026397	+	564	0
NCU06286	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3028114;3029268;3029801;3030486;3030776	3029184;3029325;3029821;3030563;3030831	+;+;+;+;+	1284	0
NCU06285	CM002239.1;CM002239.1	3032145;3035430	3035317;3036404	-;-	4148	445
NCU06284	CM002239.1;CM002239.1;CM002239.1;CM002239.1	3036077;3036649;3036868;3039154	3036571;3036795;3039067;3039627	+;+;+;+	3316	6
NCU06283	CM002239.1;CM002239.1;CM002239.1;CM002239.1	3039829;3040721;3041614;3042811	3040650;3041544;3042746;3043691	-;-;-;-	3660	0
NCU06282	CM002239.1;CM002239.1	3044131;3044890	3044759;3045942	-;-	1682	41
NCU06281	CM002239.1;CM002239.1	3045941;3050505	3050417;3051656	-;-	5629	139
NCU15168	CM002239.1	3083366	3083457	-	92	0
NCU04526	CM002239.1;CM002239.1	3086371;3087290	3087233;3088512	-;-	2086	4
NCU15169	CM002239.1	3090085	3090169	+	85	5
NCU04525	CM002239.1;CM002239.1	3090422;3091089	3090997;3092022	+;+	1510	2
NCU04524	CM002239.1;CM002239.1;CM002239.1	3093042;3093340;3093622	3093153;3093470;3093723	-;-;-	345	16
NCU04523	CM002239.1	3094378	3097701	+	3324	6
NCU04522	CM002239.1;CM002239.1;CM002239.1;CM002239.1	3097969;3098323;3098720;3098930	3098229;3098659;3098849;3099624	-;-;-;-	1423	24
NCU04521	CM002239.1	3099629	3102348	+	2720	6
NCU04520	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3102579;3102579;3103067;3103067;3103309;3103309;3103482;3103482;3103815;3103815;3104099;3104524	3102999;3102999;3103244;3103244;3103427;3103427;3103746;3103746;3104036;3104036;3104929;3104916	+;+;+;+;+;+;+;+;+;+;+;+	2036	0
NCU04519	CM002239.1;CM002239.1;CM002239.1;CM002239.1	3105072;3105429;3105719;3105887	3105340;3105643;3105820;3106257	-;-;-;-	957	0
NCU04518	CM002239.1;CM002239.1	3106230;3107261	3107181;3108186	-;-	1878	2
NCU14096	CM002239.1;CM002239.1;CM002239.1	3109227;3109449;3109880	3109376;3109810;3110023	-;-;-	656	10
NCU11295	CM002239.1;CM002239.1	3110770;3111767	3111454;3113646	-;-	2565	32
NCU04516	CM002239.1;CM002239.1;CM002239.1	3113922;3114819;3115244	3114738;3114931;3118231	+;+;+	3918	104
NCU04515	CM002239.1;CM002239.1	3117177;3117670	3117326;3117876	-;-	357	41
NCU04514	CM002239.1	3120460	3125978	-	5519	6
NCU04513	CM002239.1;CM002239.1	3125985;3127254	3127124;3127722	+;+	1609	6
NCU04512	CM002239.1;CM002239.1;CM002239.1	3128137;3135183;3135348	3135119;3135257;3135653	+;+;+	7364	12
NCU04511	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3135951;3136385;3136583;3136773;3137113;3138152	3136289;3136511;3136713;3137053;3138086;3138878	-;-;-;-;-;-	2579	4
gcy-3	CM002239.1;CM002239.1;CM002239.1	3139314;3139658;3140220	3139578;3140144;3140717	-;-;-	1250	32
NCU04509	CM002239.1	3140659	3141907	+	1249	762
NCU04508	CM002239.1;CM002239.1	3142115;3142736	3142648;3143204	-;-	1003	13
NCU04507	CM002239.1;CM002239.1	3143181;3144553	3144477;3144872	+;+	1617	10
NCU04506	CM002239.1	3145031	3147822	-	2792	16
NCU04505	CM002239.1	3148521	3151076	-	2556	43
NCU04504	CM002239.1;CM002239.1;CM002239.1	3150825;3151436;3152549	3151373;3152460;3152878	+;+;+	1904	197
NCU04503	CM002239.1;CM002239.1	3153050;3153688	3153631;3154985	-;-	1880	174
NCU04502	CM002239.1;CM002239.1	3156117;3157062	3156973;3157381	+;+	1177	50
NCU04501	CM002239.1	3160476	3160988	+	513	792
gh18-1	CM002239.1;CM002239.1;CM002239.1	3162545;3164346;3164563	3164269;3164475;3164692	+;+;+	1985	0
NCU04499	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3166095;3167485;3167902;3167999;3168116	3167420;3167829;3167921;3168021;3168588	+;+;+;+;+	2187	0
NCU04498	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3169773;3169773;3170089;3170108;3170211;3170211;3171470;3171470	3169987;3169972;3170153;3170153;3171405;3171405;3172567;3173066	-;-;-;-;-;-;-;-	3072	398
NCU04497	CM002239.1;CM002239.1	3171723;3173143	3173083;3173553	+;+	1772	287
NCU04496	CM002239.1;CM002239.1	3174751;3175415	3175300;3176363	+;+	1499	53
NCU15170	CM002239.1	3177260	3177360	+	101	0
NCU04495	CM002239.1;CM002239.1;CM002239.1	3177401;3178697;3178961	3178639;3178904;3179535	+;+;+	2022	0
NCU04494	CM002239.1;CM002239.1	3179971;3180735	3180671;3181567	-;-	1534	54
NCU04493	CM002239.1;CM002239.1;CM002239.1	3180301;3182362;3182726	3182287;3182664;3183418	+;+;+	2983	547
NCU16802	CM002239.1	3185178	3186683	-	1506	10
NCU04492	CM002239.1	3187131	3188246	-	1116	66
NCU16803	CM002239.1	3188549	3189862	-	1314	595
NCU04491	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3189039;3189716;3190297;3190297;3190535;3190535;3190859	3190180;3190180;3190447;3190447;3190748;3191074;3190941	+;+;+;+;+;+;+	1833	28
NCU15171	CM002239.1	3189458	3189551	+	94	0
NCU16805	CM002239.1;CM002239.1;CM002239.1	3192552;3193305;3193489	3193206;3193410;3193545	+;+;+	818	0
NCU04490	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3194091;3194240;3194526;3194741;3194910;3195063	3194179;3194449;3194670;3194839;3194996;3195492	+;+;+;+;+;+	1060	6
NCU16806	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3195504;3196085;3196323;3196507;3196659;3196835;3196998	3195980;3196241;3196421;3196587;3196757;3196933;3197236	+;+;+;+;+;+;+	1251	0
NCU16807	CM002239.1;CM002239.1;CM002239.1	3197375;3197837;3198095	3197756;3198023;3198288	+;+;+	763	0
NCU04488	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3198491;3198776;3198966;3199142;3199322	3198708;3198896;3199061;3199240;3199426	+;+;+;+;+	639	4
NCU04487	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3199564;3200456;3200651;3200864;3201108;3201285	3200395;3200566;3200794;3200995;3201197;3201537	+;+;+;+;+;+	1562	12
NCU04486	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3202737;3202754;3203213;3203213;3203382;3203643;3203643;3204027	3203141;3203141;3203321;3203321;3203505;3204043;3203955;3204175	+;+;+;+;+;+;+;+	1171	0
NCU14097	CM002239.1;CM002239.1	3204537;3205000	3204936;3205457	-;-	858	76
NCU04485	CM002239.1	3205490	3207966	-	2477	2
NCU04484	CM002239.1	3207821	3210307	+	2487	24
NCU04483	CM002239.1	3211204	3212628	-	1425	16
NCU15632	CM002239.1	3212842	3212957	+	116	0
NCU04482	CM002239.1	3213210	3215130	+	1921	4
NCU04481	CM002239.1;CM002239.1;CM002239.1	3216598;3217123;3217295	3217043;3217206;3219011	-;-;-	2247	43
NCU04480	CM002239.1;CM002239.1	3218986;3220521	3220454;3220586	+;+	1535	5
NCU04479	CM002239.1;CM002239.1;CM002239.1	3221636;3222102;3222373	3222036;3222296;3223437	-;-;-	1661	6
NCU04478	CM002239.1;CM002239.1;CM002239.1	3224189;3224628;3224830	3224551;3224734;3226516	-;-;-	2157	0
NCU04477	CM002239.1;CM002239.1;CM002239.1	3226901;3227787;3227919	3227509;3227821;3228444	+;+;+	1170	0
NCU04476	CM002239.1;CM002239.1	3229362;3229861	3229575;3231255	-;-	1609	0
NCU15172	CM002239.1	3231910	3231996	-	87	0
NCU04475	CM002239.1	3232198	3234288	+	2091	96
NCU15173	CM002239.1	3234650	3234738	+	89	0
NCU15174	CM002239.1	3235245	3235335	-	91	10
NCU04474	CM002239.1;CM002239.1;CM002239.1	3235762;3236052;3237104	3235975;3237043;3237454	+;+;+	1557	0
NCU04473	CM002239.1;CM002239.1	3238125;3238886	3238821;3239676	+;+	1488	0
NCU04472	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3240437;3240437;3241516;3241516;3243036;3243195;3243195;3243509;3243509;3244612;3244612;3245538;3245538	3241442;3241442;3243089;3242930;3243089;3243435;3243435;3244538;3244538;3245466;3245466;3247527;3247527	-;-;-;-;-;-;-;-;-;-;-;-;-	6696	6
NCU04471	CM002239.1	3248267	3249307	-	1041	286
NCU04470	CM002239.1;CM002239.1;CM002239.1;CM002239.1	3250312;3250528;3250746;3250990	3250454;3250674;3250923;3251897	-;-;-;-	1376	8
NCU04469	CM002239.1	3252138	3256136	-	3999	38
NCU04468	CM002239.1;CM002239.1;CM002239.1	3256263;3258093;3258261	3258031;3258204;3258830	-;-;-	2451	8
NCU04467	CM002239.1;CM002239.1;CM002239.1	3260030;3260875;3261066	3260647;3260935;3261644	-;-;-	1258	14
NCU04466	CM002239.1;CM002239.1;CM002239.1	3262395;3262798;3263202	3262720;3263104;3264360	-;-;-	1792	94
NCU15175	CM002239.1	3264586	3264656	-	71	0
NCU04465	CM002239.1;CM002239.1	3264605;3266888	3266824;3267774	+;+	3107	0
NCU16813	CM002239.1	3268270	3268593	+	324	0
NCU04464	CM002239.1;CM002239.1	3269555;3270471	3270317;3271861	-;-	2154	4
NCU15176	CM002239.1	3272425	3272572	-	148	0
NCU04463	CM002239.1;CM002239.1;CM002239.1	3273140;3274434;3277684	3274377;3277609;3278640	+;+;+	5371	0
NCU04462	CM002239.1;CM002239.1	3278825;3280199	3280127;3280485	+;+	1590	0
NCU04461	CM002239.1;CM002239.1	3280603;3281064	3280995;3282081	-;-	1411	163
NCU04460	CM002239.1;CM002239.1;CM002239.1;CM002239.1	3281480;3282038;3282902;3283026	3281966;3282839;3282953;3283345	+;+;+;+	1661	420
NCU04459	CM002239.1;CM002239.1	3284449;3285029	3284780;3286846	-;-	2150	7
NCU04457	CM002239.1;CM002239.1	3288876;3290616	3290558;3292839	-;-	3907	0
NCU10270	CM002239.1;CM002239.1;CM002239.1	3293302;3294041;3294769	3293887;3294644;3295311	-;-;-	1733	27
NCU04456	CM002239.1	3295276	3298392	+	3117	16
NCU04455	CM002239.1	3300785	3304120	+	3336	0
NCU04454	CM002239.1;CM002239.1;CM002239.1	3304413;3304867;3305613	3304756;3305548;3306777	-;-;-	2191	4
tol	CM002239.1;CM002239.1	3307138;3308135	3308040;3310773	-;-	3542	64
mig-3	CM002239.1	3311170	3312789	+	1620	10
NCU04451	CM002239.1;CM002239.1;CM002239.1;CM002239.1	3313875;3315064;3315230;3315749	3314989;3315137;3315648;3316683	+;+;+;+	2543	2
NCU10500	CM002239.1;CM002239.1;CM002239.1	3316772;3317660;3318093	3317582;3317994;3319267	+;+;+	2321	0
NCU04450	CM002239.1;CM002239.1	3319465;3320199	3320125;3322027	-;-	2490	97
NCU04449	CM002239.1;CM002239.1;CM002239.1	3321895;3323405;3324019	3323341;3323893;3324175	+;+;+	2093	64
NCU04448	CM002239.1;CM002239.1;CM002239.1	3324137;3325037;3325196	3324927;3325122;3327122	-;-;-	2804	2
NCU04447	CM002239.1;CM002239.1	3327887;3328098	3327972;3328350	-;-	339	22
NCU04446	CM002239.1;CM002239.1;CM002239.1	3329245;3329928;3330458	3329814;3330364;3331055	-;-;-	1605	8
NCU04445	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3331578;3331994;3332085;3332264;3332887	3331914;3332024;3332175;3332821;3335523	+;+;+;+;+	3654	0
NCU04444	CM002239.1;CM002239.1	3337003;3340594	3340535;3344040	+;+	6980	20
NCU04443	CM002239.1;CM002239.1	3344567;3345979	3345877;3346956	-;-	2289	224
NCU04442	CM002239.1;CM002239.1;CM002239.1;CM002239.1	3346920;3347720;3348262;3348846	3347651;3348170;3348496;3349140	+;+;+;+	1713	40
NCU04440	CM002239.1;CM002239.1	3351912;3352213	3351976;3355623	-;-	3476	4
NCU04439	CM002239.1;CM002239.1	3356002;3356347	3356269;3358806	-;-	2728	0
NCU04438	CM002239.1;CM002239.1;CM002239.1;CM002239.1	3360842;3361021;3361376;3361598	3360937;3361304;3361389;3361872	-;-;-;-	669	4
NCU04437	CM002239.1;CM002239.1	3362830;3364437	3364370;3365083	-;-	2188	20
NCU10965	CM002239.1;CM002239.1	3365051;3365787	3365720;3366731	+;+	1615	8
NCU04436	CM002239.1;CM002239.1	3366920;3367755	3367693;3368637	-;-	1657	52
NCU04435	CM002239.1;CM002239.1;CM002239.1;CM002239.1	3368580;3369748;3369936;3370097	3369688;3369860;3370036;3370877	+;+;+;+	2104	5
cys-14	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3375754;3377135;3377282;3377391;3377996;3378947	3377060;3377214;3377332;3377923;3378858;3380167	-;-;-;-;-;-	4055	8
NCU04432	CM002239.1	3381154	3381759	-	606	0
NCU15177	CM002239.1	3383084	3383172	-	89	0
NCU04431	CM002239.1;CM002239.1;CM002239.1	3383399;3383861;3385280	3383798;3385219;3385897	+;+;+	2377	6
NCU04430	CM002239.1;CM002239.1	3387603;3388931	3388869;3390212	+;+	2549	50
NCU04429	CM002239.1;CM002239.1	3391596;3393814	3393713;3394430	+;+	2735	6
