# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "2" "-p" "-t" "CDS" "-g" "gene_name" "-s" "0" "--primary" "-a" "/home/zlewis/Genomes/Neurospora/Nc12_RefSeq/GCA_000182925.2_NC12_genomic_GFFtoGTFconversion.gtf" "-o" "/scratch/evt82290/RNAseq/qa-suz12/counts/readcounts_newseq.txt" "/scratch/evt82290/RNAseq/qa-suz12/bamFiles/SRR9027658/SRR9027658_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/RNAseq/qa-suz12/bamFiles/SRR9027689/SRR9027689_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/RNAseq/qa-suz12/bamFiles/SRR9027759/SRR9027759_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269825/SRR8269825_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269775/SRR8269775_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269782/SRR8269782_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269810/SRR8269810_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-89_RNA_WT_24hrqa__Rep3_S89/149-89_RNA_WT_24hrqa__Rep3_S89_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-88_RNA_WT_24hrqa__Rep2_S88/149-88_RNA_WT_24hrqa__Rep2_S88_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-84_RNA_WT__Rep1_S84/149-84_RNA_WT__Rep1_S84_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-85_RNA_WT__Rep2_S85/149-85_RNA_WT__Rep2_S85_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-86_RNA_WT__Rep3_S86/149-86_RNA_WT__Rep3_S86_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-87_RNA_WT_24hrqa__Rep1_S87/149-87_RNA_WT_24hrqa__Rep1_S87_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-90_RNA_qa-suz12__Rep1_S90/149-90_RNA_qa-suz12__Rep1_S90_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-91_RNA_qa-suz12__Rep2_S91/149-91_RNA_qa-suz12__Rep2_S91_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-92_RNA_qa-suz12__Rep3_S92/149-92_RNA_qa-suz12__Rep3_S92_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-93_RNA_qa-suz12_24hrqa__Rep1_S93/149-93_RNA_qa-suz12_24hrqa__Rep1_S93_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-94_RNA_qa-suz12_24hrqa__Rep2_S94/149-94_RNA_qa-suz12_24hrqa__Rep2_S94_Aligned.sortedByCoord.out.bam" "/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-95_RNA_qa-suz12_24hrqa__Rep3_S95/149-95_RNA_qa-suz12_24hrqa__Rep3_S95_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/evt82290/RNAseq/qa-suz12/bamFiles/SRR9027658/SRR9027658_Aligned.sortedByCoord.out.bam	/scratch/evt82290/RNAseq/qa-suz12/bamFiles/SRR9027689/SRR9027689_Aligned.sortedByCoord.out.bam	/scratch/evt82290/RNAseq/qa-suz12/bamFiles/SRR9027759/SRR9027759_Aligned.sortedByCoord.out.bam	/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269825/SRR8269825_Aligned.sortedByCoord.out.bam	/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269775/SRR8269775_Aligned.sortedByCoord.out.bam	/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269782/SRR8269782_Aligned.sortedByCoord.out.bam	/scratch/evt82290/RNAseq/CAF-1_Heatmap/bamFiles/SRR8269810/SRR8269810_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-89_RNA_WT_24hrqa__Rep3_S89/149-89_RNA_WT_24hrqa__Rep3_S89_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-88_RNA_WT_24hrqa__Rep2_S88/149-88_RNA_WT_24hrqa__Rep2_S88_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-84_RNA_WT__Rep1_S84/149-84_RNA_WT__Rep1_S84_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-85_RNA_WT__Rep2_S85/149-85_RNA_WT__Rep2_S85_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-86_RNA_WT__Rep3_S86/149-86_RNA_WT__Rep3_S86_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-87_RNA_WT_24hrqa__Rep1_S87/149-87_RNA_WT_24hrqa__Rep1_S87_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-90_RNA_qa-suz12__Rep1_S90/149-90_RNA_qa-suz12__Rep1_S90_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-91_RNA_qa-suz12__Rep2_S91/149-91_RNA_qa-suz12__Rep2_S91_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-92_RNA_qa-suz12__Rep3_S92/149-92_RNA_qa-suz12__Rep3_S92_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-93_RNA_qa-suz12_24hrqa__Rep1_S93/149-93_RNA_qa-suz12_24hrqa__Rep1_S93_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-94_RNA_qa-suz12_24hrqa__Rep2_S94/149-94_RNA_qa-suz12_24hrqa__Rep2_S94_Aligned.sortedByCoord.out.bam	/scratch/evt82290/MappingOutputs/Run149/RNA/bamFiles/149-95_RNA_qa-suz12_24hrqa__Rep3_S95/149-95_RNA_qa-suz12_24hrqa__Rep3_S95_Aligned.sortedByCoord.out.bam
NCU04509	CM002239.1	3140781	3141485	-	705	186	242	181	405	459	458	423	184	122	221	116	79	163	49	158	6	0	4	222
NCU04508	CM002239.1;CM002239.1	3142446;3142736	3142648;3142760	+;+	228	387	458	307	999	1142	1182	1014	529	251	618	193	72	687	136	310	11	4	2	445
NCU04507	CM002239.1;CM002239.1	3143351;3144553	3144477;3144625	-;-	1200	2583	2257	1846	4964	6098	5766	4727	1391	509	1365	670	318	1653	435	1346	84	58	53	2075
NCU04506	CM002239.1	3146143	3147411	+	1269	388	534	280	922	1216	1105	893	178	172	252	91	68	336	56	105	48	16	8	228
NCU04505	CM002239.1	3148592	3150865	+	2274	1312	1262	899	2553	3612	3233	2644	2054	1164	3030	1419	1681	4319	624	1657	78	20	22	1624
NCU04504	CM002239.1;CM002239.1;CM002239.1	3151136;3151436;3152549	3151373;3152460;3152833	-;-;-	1548	457	601	278	1379	1474	1479	1341	204	146	201	70	34	230	64	104	18	18	20	285
NCU04503	CM002239.1;CM002239.1	3153194;3153688	3153631;3154698	+;+	1449	1177	1805	848	3747	4895	4618	3927	1034	803	660	341	230	1194	388	838	13	20	5	1342
NCU04502	CM002239.1;CM002239.1	3156763;3157062	3156973;3157171	-;-	321	29194	28233	24012	67512	78422	78254	66816	103352	52299	121241	15839	9681	57748	10121	32573	776	613	400	98665
NCU04501	CM002239.1	3160476	3160988	-	513	357	125	164	362	568	543	371	282	99	290	369	553	1821	244	475	18	2	0	337
gh18-1	CM002239.1;CM002239.1;CM002239.1	3163243;3164346;3164563	3164269;3164475;3164692	-;-;-	1287	2	6	0	12	6	12	6	0	0	4	0	0	0	0	4	1	0	2	1
NCU04499	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3166659;3167485;3167902;3167999;3168116	3167420;3167829;3167921;3168021;3168375	-;-;-;-;-	1410	508	553	324	1465	1898	1912	1462	565	453	790	83	76	286	59	196	19	10	23	587
NCU04498	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3169909;3170108;3170211;3170299;3171470;3171470	3169972;3170153;3171405;3171405;3171661;3171661	+;+;+;+;+;+	1497	872	1254	682	3058	3739	3657	2959	551	288	547	160	114	298	144	392	79	26	21	654
NCU04497	CM002239.1;CM002239.1	3172055;3173143	3173083;3173382	-;-	1269	740	612	756	1566	1851	1776	1536	1476	548	1583	162	101	440	54	208	32	32	24	857
NCU04496	CM002239.1;CM002239.1	3174905;3175415	3175300;3175684	-;-	666	196	171	224	646	906	827	768	1660	744	1920	688	337	1126	512	2088	18	10	6	2046
NCU04495	CM002239.1;CM002239.1;CM002239.1	3177749;3178697;3178961	3178639;3178904;3179190	-;-;-	1329	341	544	318	1354	1690	1629	1330	97	70	144	30	6	68	22	78	22	10	12	132
NCU04494	CM002239.1;CM002239.1	3180456;3180735	3180671;3181466	+;+	948	424	508	274	1226	1695	1681	1279	357	146	400	212	56	286	413	670	15	0	2	346
NCU04493	CM002239.1;CM002239.1;CM002239.1	3182121;3182362;3182726	3182287;3182664;3182774	-;-;-	519	3810	12580	1856	34301	42153	42299	34176	4666	1477	4911	2669	845	4882	3558	4851	281	34	40	4769
NCU16802	CM002239.1	3185674	3185985	+	312	872	1102	1145	2957	3530	3597	2858	826	451	938	391	230	801	146	604	34	10	4	655
NCU04492	CM002239.1	3187131	3188015	+	885	694	772	488	1602	2112	1930	1634	623	268	789	557	245	621	202	804	18	3	6	550
NCU16803	CM002239.1	3188670	3189284	+	615	50	42	40	183	210	226	180	95	11	82	9	14	48	0	23	6	0	2	95
NCU04491	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3189924;3189924;3190297;3190297;3190535;3190535	3190180;3190180;3190447;3190447;3190732;3190732	-;-;-;-;-;-	606	2880	2880	2243	7858	9882	9392	7822	1950	962	2317	305	161	663	204	728	42	56	30	2236
NCU16805	CM002239.1;CM002239.1;CM002239.1	3192827;3193305;3193489	3193206;3193410;3193545	-;-;-	543	103	75	134	160	192	187	143	38	37	69	20	6	45	5	59	3	0	0	20
NCU04490	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3194259;3194526;3194741;3194910;3195063	3194449;3194670;3194839;3194996;3195284	-;-;-;-;-	744	41	35	52	64	82	97	84	38	22	32	6	6	23	2	8	0	0	0	12
NCU16806	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3195751;3196085;3196323;3196507;3196659;3196835;3196998	3195980;3196241;3196421;3196587;3196757;3196933;3197048	-;-;-;-;-;-;-	816	1152	1219	958	2416	2875	2767	2200	2681	1460	4438	813	538	2460	377	1618	76	18	16	1771
NCU16807	CM002239.1;CM002239.1;CM002239.1	3197563;3197837;3198095	3197756;3198023;3198097	-;-;-	384	350	409	417	970	1243	1294	1021	245	189	356	69	32	173	60	128	13	6	4	338
NCU04488	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3198491;3198776;3198966;3199142;3199322	3198708;3198896;3199061;3199240;3199426	-;-;-;-;-	639	616	696	574	1907	2318	2412	1862	161	168	289	123	64	185	29	166	8	12	2	233
NCU04487	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3200060;3200456;3200651;3200864;3201108;3201285	3200395;3200566;3200794;3200995;3201197;3201380	-;-;-;-;-;-	909	2590	2320	2305	5663	7076	7126	5454	579	370	517	96	58	244	70	304	62	45	20	783
NCU04486	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3202945;3202945;3203213;3203213;3203382;3203643	3203141;3203141;3203321;3203321;3203384;3203654	-;-;-;-;-;-	321	515	550	358	1280	1641	1373	1394	382	188	456	316	167	348	94	485	50	15	5	533
NCU04485	CM002239.1	3205558	3207720	+	2163	556	698	492	1332	1722	1737	1334	585	250	630	48	36	182	94	262	18	36	50	880
NCU04484	CM002239.1	3208204	3210102	-	1899	0	0	0	2	8	3	0	3	6	6	0	0	2	0	5	0	6	3	10
NCU04483	CM002239.1	3211359	3212435	+	1077	1900	1557	1522	4579	5394	5175	4422	148	84	168	278	194	238	48	281	4	6	2	168
NCU04482	CM002239.1	3213626	3214261	-	636	222	184	163	346	383	339	268	11253	5769	18657	265	287	3599	82	137	6	185	45	8026
NCU04481	CM002239.1;CM002239.1;CM002239.1	3216773;3217123;3217295	3217043;3217206;3218607	+;+;+	1668	524	633	458	1298	1509	1545	1422	196	124	207	24	22	62	36	52	18	16	11	347
NCU04480	CM002239.1	3219160	3220242	-	1083	1028	1047	355	2954	3747	3530	3128	371	182	379	156	30	245	42	176	11	14	5	437
NCU04479	CM002239.1;CM002239.1;CM002239.1	3221833;3222102;3222373	3222036;3222296;3223182	+;+;+	1209	8179	8234	5595	23556	28279	27494	24089	1810	917	2634	1481	236	922	640	3672	298	135	66	2550
NCU04478	CM002239.1;CM002239.1;CM002239.1	3224189;3224628;3224830	3224551;3224734;3226516	+;+;+	2157	161	86	68	322	394	303	306	24	2	36	140	12	68	12	195	4	6	5	16
NCU04477	CM002239.1;CM002239.1;CM002239.1	3226901;3227787;3227919	3227509;3227821;3228444	-;-;-	1170	0	0	0	3	0	0	2	0	0	0	0	0	0	0	2	0	2	0	0
NCU04476	CM002239.1;CM002239.1	3229362;3229861	3229575;3230795	+;+	1149	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	2	0
NCU04475	CM002239.1	3232285	3233520	-	1236	123	100	71	189	239	244	202	158	69	161	30	8	38	2	14	2	8	4	268
NCU04474	CM002239.1;CM002239.1;CM002239.1	3235762;3236052;3237104	3235975;3237043;3237454	-;-;-	1557	2504	1982	1879	3883	4953	4805	3863	411	174	455	332	168	370	108	371	104	172	112	1366
NCU04473	CM002239.1;CM002239.1	3238180;3238886	3238821;3239476	-;-	1233	3654	6211	2661	15406	18301	18367	15335	4910	2282	5510	582	198	935	590	1360	112	74	80	5501
NCU04472	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3241244;3241244;3241516;3241516;3243036;3243195;3243195;3243509;3243509;3244612;3244612;3245538;3245538	3241442;3241442;3242930;3243089;3243089;3243435;3243435;3244538;3244538;3245466;3245466;3247182;3247182	+;+;+;+;+;+;+;+;+;+;+;+;+	5544	9222	9482	5020	23462	28004	27856	23822	6443	3317	5774	250	133	532	508	1144	474	364	438	10838
NCU04471	CM002239.1	3248441	3249193	+	753	254	207	217	649	829	864	621	72	50	175	100	28	74	52	173	2	4	0	653
NCU04470	CM002239.1;CM002239.1;CM002239.1	3250620;3250746;3250990	3250674;3250923;3251578	+;+;+	822	1061	1229	806	3361	4112	4047	3255	155	159	281	192	24	136	106	452	26	10	6	291
NCU04469	CM002239.1	3253362	3255395	+	2034	1472	1294	1153	3175	4198	4152	3231	2686	1829	3283	644	690	2681	341	1031	198	84	39	1668
NCU04468	CM002239.1;CM002239.1;CM002239.1	3256423;3258093;3258261	3258031;3258204;3258444	+;+;+	1905	1430	1185	967	2782	4006	4185	2825	912	406	939	652	486	1236	244	692	84	12	13	460
NCU04467	CM002239.1;CM002239.1	3260930;3261066	3260935;3261320	+;+	261	64	80	99	232	243	245	224	358	97	309	27	33	147	26	42	3	11	10	298
NCU04466	CM002239.1;CM002239.1	3262879;3263202	3263104;3263719	+;+	744	1087	853	750	2174	2706	2641	2173	1063	225	1083	777	71	335	293	1843	14	6	6	1450
NCU04465	CM002239.1;CM002239.1	3264886;3266888	3266824;3267180	-;-	2232	1017	1140	745	2810	3530	3382	2763	304	136	420	134	68	149	60	194	16	12	8	527
NCU16813	CM002239.1	3268270	3268593	-	324	5	2	2	9	13	10	5	0	0	0	4	0	3	2	3	0	0	0	0
NCU04464	CM002239.1;CM002239.1	3269555;3270471	3270317;3271861	+;+	2154	40	39	13	69	93	80	50	2	2	8	84	28	46	12	53	20	2	4	16
NCU04463	CM002239.1;CM002239.1;CM002239.1	3273610;3274434;3277684	3274377;3277609;3278065	-;-;-	4326	2478	2353	1758	7339	8377	8323	7290	240	138	179	122	27	76	90	279	88	90	20	834
NCU04462	CM002239.1;CM002239.1	3279273;3280199	3280127;3280342	-;-	999	2920	3544	2639	9070	10983	10580	8839	614	298	602	96	57	142	143	394	19	14	4	688
NCU04461	CM002239.1;CM002239.1	3280930;3281064	3280995;3281525	+;+	528	1595	2305	1353	5652	6907	7000	5416	221	164	246	84	36	80	160	458	28	16	5	425
NCU04460	CM002239.1;CM002239.1;CM002239.1;CM002239.1	3281743;3282038;3282902;3283026	3281966;3282839;3282953;3283126	-;-;-;-	1179	1532	1595	1243	3647	4203	4276	3763	314	198	431	136	50	153	92	374	14	14	7	390
NCU04459	CM002239.1;CM002239.1	3284688;3285029	3284780;3286504	+;+	1569	1385	1721	1021	4309	4944	5006	4323	339	205	486	427	144	529	285	781	120	36	12	610
NCU04457	CM002239.1;CM002239.1	3289782;3290616	3290558;3292235	+;+	2397	1046	1051	638	3300	4082	4051	3453	172	86	216	143	64	203	106	311	92	38	30	308
NCU10270	CM002239.1;CM002239.1;CM002239.1	3293793;3294041;3294769	3293887;3294644;3294942	+;+;+	873	707	790	694	1922	2556	2423	1871	1850	731	1883	78	80	777	136	384	28	12	16	1155
NCU04456	CM002239.1	3296039	3297943	-	1905	690	690	364	2034	2567	2420	2051	277	147	398	110	76	166	50	178	38	20	11	345
NCU04455	CM002239.1	3301728	3303833	-	2106	239	174	102	607	752	733	574	26	12	32	14	4	38	6	41	10	14	10	65
NCU04454	CM002239.1;CM002239.1;CM002239.1	3304686;3304867;3305613	3304756;3305548;3306659	+;+;+	1800	2418	3132	2460	7648	9916	9844	7683	230	184	303	174	54	226	148	397	48	8	2	314
tol	CM002239.1;CM002239.1	3307245;3308135	3308040;3310473	+;+	3135	793	692	440	1357	1719	1814	1318	154	108	198	418	180	431	248	1114	42	6	8	224
mig-3	CM002239.1	3311430	3312569	-	1140	2772	2548	2181	9361	11742	11735	9243	62528	14516	43232	1580	2024	20840	1740	5091	302	40	114	13543
NCU04451	CM002239.1;CM002239.1;CM002239.1;CM002239.1	3314054;3315064;3315230;3315749	3314989;3315137;3315648;3316683	-;-;-;-	2364	430	423	176	1472	1813	1829	1517	1168	282	1617	6776	4282	11403	1311	5579	596	0	6	255
NCU10500	CM002239.1;CM002239.1	3317778;3318093	3317994;3318538	-;-	663	2262	2580	1247	8033	9007	8573	7596	2470	1449	2946	2816	1979	7694	1133	4126	213	12	2	802
NCU04450	CM002239.1;CM002239.1	3319591;3320199	3320125;3321637	+;+	1974	899	698	574	2409	2890	3093	2436	883	474	1032	682	373	1420	352	1256	60	46	18	654
NCU04449	CM002239.1;CM002239.1	3322161;3323405	3323341;3323891	-;-	1668	512	834	571	2023	2688	2482	2066	90	50	133	99	22	90	84	316	58	25	7	174
NCU04448	CM002239.1;CM002239.1;CM002239.1	3324840;3325037;3325196	3324927;3325122;3326722	+;+;+	1701	5278	5592	4651	13578	15716	15919	13660	1395	866	1766	648	248	834	402	1563	110	94	48	2040
NCU04447	CM002239.1;CM002239.1	3327887;3328098	3327972;3328350	+;+	339	40	52	40	70	109	106	55	4	4	8	16	7	34	6	43	0	0	0	4
NCU04446	CM002239.1;CM002239.1;CM002239.1	3329257;3329928;3330458	3329814;3330364;3331055	+;+;+	1593	1000	1162	917	1758	2036	2130	1741	540	286	572	110	98	300	64	455	20	17	13	387
NCU04445	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3331578;3331994;3332085;3332264;3332887	3331914;3332024;3332175;3332821;3335523	-;-;-;-;-	3654	0	2	1	3	13	6	7	8	0	8	37	44	92	10	40	4	6	6	4
NCU04444	CM002239.1;CM002239.1	3337030;3340594	3340535;3342631	-;-	5544	2539	2890	1431	7854	9165	9286	7869	731	263	641	1072	570	1442	440	1482	514	64	98	1032
NCU04443	CM002239.1;CM002239.1	3345366;3345979	3345877;3346831	+;+	1365	7488	6496	5300	12026	15189	14691	11713	3368	2005	3798	11917	3121	13654	6195	19467	472	42	26	3022
NCU04442	CM002239.1;CM002239.1;CM002239.1;CM002239.1	3347239;3347720;3348262;3348846	3347651;3348170;3348496;3348874	-;-;-;-	1128	6020	6210	4475	13655	16419	15720	13695	2139	1266	2945	3099	2705	11320	946	3026	287	73	23	1332
NCU04440	CM002239.1	3352292	3355351	+	3060	297	361	273	834	995	927	779	110	49	178	166	132	256	88	274	86	18	21	193
NCU04439	CM002239.1;CM002239.1	3356123;3356347	3356269;3358671	+;+	2472	342	472	276	978	1277	1269	1070	164	76	179	38	8	116	52	130	2	18	18	328
NCU04438	CM002239.1;CM002239.1;CM002239.1;CM002239.1	3360908;3361021;3361376;3361598	3360937;3361304;3361389;3361671	+;+;+;+	402	3	0	0	0	0	0	2	1	0	0	0	0	2	0	0	0	0	2	0
NCU04437	CM002239.1;CM002239.1	3363044;3364437	3364370;3364945	+;+	1836	264	296	183	754	849	828	754	63	50	84	132	38	82	40	181	18	12	4	186
NCU10965	CM002239.1;CM002239.1	3365254;3365787	3365720;3366477	-;-	1158	287	341	160	710	942	894	725	142	80	140	92	39	59	38	189	20	10	0	178
NCU04436	CM002239.1;CM002239.1	3367096;3367755	3367693;3368071	+;+	915	590	689	302	1733	2188	1989	1704	602	185	615	217	208	720	80	453	76	30	26	473
NCU04435	CM002239.1;CM002239.1;CM002239.1;CM002239.1	3368677;3369748;3369936;3370097	3369688;3369860;3370036;3370481	-;-;-;-	1611	1805	1300	1809	2524	3133	2925	2397	111	68	129	363	63	259	138	404	38	2	5	119
cys-14	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3376782;3377135;3377282;3377391;3377996;3378947	3377060;3377214;3377332;3377923;3378858;3379600	+;+;+;+;+;+	2460	6640	5832	5858	16196	19243	19221	15816	350	504	745	336	162	772	1268	3015	217	42	26	568
NCU04432	CM002239.1	3381220	3381759	+	540	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU04431	CM002239.1;CM002239.1	3383715;3383861	3383798;3384640	-;-	864	126	106	75	341	442	439	365	694	44	682	194	80	120	24	203	8	26	20	347
NCU04430	CM002239.1;CM002239.1	3388342;3388931	3388869;3389929	-;-	1527	2555	1084	2639	2967	3761	3766	3216	2205	963	2555	5170	1279	1799	254	1849	80	54	10	2256
NCU04429	CM002239.1;CM002239.1	3392076;3393814	3393713;3393849	-;-	1674	753	883	551	2711	3098	3213	2752	107	99	114	132	60	112	76	174	34	16	22	202
NCU04428	CM002239.1;CM002239.1	3395284;3395517	3395436;3397841	+;+	2478	868	896	478	2372	3108	2965	2377	487	242	483	246	60	292	100	348	54	20	16	470
NCU04427	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3399143;3399928;3401035;3401808;3401966;3402123	3399870;3400977;3401681;3401893;3402058;3402176	-;-;-;-;-;-	2658	2857	3523	1788	9514	11279	11639	9431	827	352	1024	765	387	1059	433	1154	142	63	46	1260
div-4	CM002239.1;CM002239.1;CM002239.1	3403346;3403483;3404596	3403431;3404536;3404628	+;+;+	1173	756	995	489	2754	3546	3279	2629	273	134	445	346	143	351	207	710	39	18	6	350
NCU04425	CM002239.1;CM002239.1	3406592;3407373	3406752;3409548	+;+	2337	713	791	506	1722	2125	2171	1648	281	126	316	154	112	320	64	194	16	12	14	321
NCU04424	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3410234;3410350;3410509;3410726;3410979;3411835;3412080;3412233	3410269;3410415;3410659;3410911;3411681;3412010;3412113;3412317	-;-;-;-;-;-;-;-	1437	176	205	133	586	602	612	529	91	56	144	92	58	79	30	106	16	6	8	202
NCU04423	CM002239.1;CM002239.1;CM002239.1	3414244;3415443;3416280	3415383;3415850;3417848	-;-;-	3117	717	729	435	1944	2509	2379	2004	212	117	285	183	78	221	124	341	65	40	25	455
anx14	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3419923;3419923;3420286;3420286;3421441	3420210;3420210;3421376;3421722;3421480	-;-;-;-;-	1725	1165	3010	864	7084	8883	8952	6786	1470	1120	1404	268	70	202	172	295	40	112	108	2966
NCU04420	CM002239.1;CM002239.1;CM002239.1;CM002239.1	3422259;3422350;3422743;3422900	3422287;3422518;3422838;3422962	+;+;+;+	357	17	8	3	18	47	39	19	6	0	14	0	0	5	0	2	0	0	2	2
NCU16817	CM002239.1	3423460	3424170	+	711	408	419	284	1391	1757	1842	1336	116	142	232	24	16	72	32	94	6	8	18	177
NCU16818	CM002239.1	3424544	3425086	+	543	201	244	76	643	821	763	638	136	142	202	23	28	88	23	46	8	13	6	111
NCU04419	CM002239.1;CM002239.1	3426713;3427632	3427500;3428205	+;+	1362	1304	1254	857	3353	4105	4026	3483	2940	2836	3936	146	90	931	125	262	20	54	26	2474
NCU04418	CM002239.1;CM002239.1;CM002239.1;CM002239.1	3432298;3433524;3433678;3434004	3433460;3433614;3433941;3434225	-;-;-;-	1740	1506	1225	1331	3624	4223	4274	3603	654	285	571	80	26	62	56	248	24	42	16	785
NCU04417	CM002239.1;CM002239.1;CM002239.1	3438824;3439268;3439934	3439205;3439846;3439956	+;+;+	984	0	0	0	0	0	0	2	2	0	1	15	0	14	4	0	0	0	0	4
NCU04416	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3444040;3444040;3444395;3444395;3444697;3444853;3444853	3444302;3444302;3444633;3444765;3444765;3444908;3444908	+;+;+;+;+;+;+	690	354	256	207	888	1029	950	935	1213	505	1432	58	29	140	52	143	40	40	121	1465
NCU04415	CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1;CM002239.1	3446966;3446966;3447300;3447300;3448137;3448137;3448379;3448379;3448803;3448803	3447244;3447244;3448082;3448082;3448318;3448318;3448741;3448741;3448881;3448881	-;-;-;-;-;-;-;-;-;-	1686	15991	10526	11063	39238	48724	48361	38352	4548	1750	4339	3594	1471	4438	634	2802	328	266	132	3976
rpt-5	CM002239.1;CM002239.1;CM002239.1;CM002239.1	3451270;3451350;3452050;3452545	3451290;3451984;3452465;3452855	-;-;-;-	1383	6876	8952	4979	22071	27459	27139	22058	2548	1525	3237	1545	567	1928	807	2998	432	145	91	2426
NCU04413	CM002239.1;CM002239.1;CM002239.1	3453587;3453693;3453928	3453641;3453854;3454430	-;-;-	720	1058	999	887	2686	3380	3114	2821	520	283	620	366	167	398	163	742	57	6	4	685
NCU04412	CM002239.1	3455644	3456687	-	1044	983	1417	1017	2510	2719	2748	2355	590	407	605	208	114	425	195	425	18	10	10	992
