# Program:featureCounts v2.0.6; Command:"featureCounts" "-T" "6" "-p" "-a" "/scratch/evt82290/histone_chaperone_plot_FINAL/NC12_annotation.gtf" "-o" "/scratch/evt82290/histone_chaperone_plot_FINAL/readcounts_FINAL.txt" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8444037.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8444038.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8444043.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970629.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970630.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970631.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970598.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970599.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970600.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269830.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269647.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269650.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916318.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916319.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916320.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970603.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970606.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970610.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR9027727.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR9027728.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR9027730.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269825.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269775.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269782.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269810.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916163.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916164.sorted.bam" "/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916165.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8444037.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8444038.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8444043.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970629.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970630.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970631.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970598.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970599.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970600.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269830.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269647.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269650.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916318.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916319.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916320.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970603.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970606.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR7970610.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR9027727.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR9027728.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR9027730.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269825.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269775.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269782.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR8269810.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916163.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916164.sorted.bam	/scratch/evt82290/histone_chaperone_plot_FINAL/SRR10916165.sorted.bam
NCU15078	CM002240.1	680540	680612	+	73	0	3	1	0	0	2	0	0	0	2	7	0	0	0	0	2	5	0	0	0	0	1	5	7	5	0	2	2
NCU11087	CM002240.1;CM002240.1	681560;682025	681767;682080	-;-	264	9	19	2	7	6	9	5	0	0	2	4	0	0	0	0	1	8	0	0	2	2	0	2	0	4	1	0	0
NCU08905	CM002240.1;CM002240.1;CM002240.1;CM002240.1;CM002240.1	689349;690708;690931;691175;691319	690656;690878;691117;691260;691474	-;-;-;-;-	1908	37	23	27	38	35	50	45	36	5	33	39	0	0	18	21	29	32	2	7	57	50	5	31	31	28	22	22	4
NCU08904	CM002240.1;CM002240.1	692669;693601	693519;694466	+;+	1717	702	798	753	770	730	805	1523	1174	230	174	169	18	20	400	394	528	586	20	68	328	372	59	826	779	622	306	415	14
NCU08903	CM002240.1;CM002240.1	695988;697086	697002;697326	-;-	1256	2375	2373	2437	2323	2238	1971	4434	3253	734	553	717	27	98	1568	1209	1737	1894	110	235	1251	1027	270	2631	2782	2659	1089	1355	95
NCU08902	CM002240.1	698328	698935	+	608	20	11	20	29	22	26	46	34	2	8	10	2	4	35	27	29	39	3	0	36	9	3	43	18	44	25	16	5
NCU15079	CM002240.1	699213	699304	+	92	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU11046	CM002240.1;CM002240.1;CM002240.1;CM002240.1;CM002240.1	699366;699366;699972;699972;700623	699723;699723;700782;700508;700976	-;-;-;-;-	1363	695	322	711	559	644	597	758	406	135	521	516	53	40	222	258	1234	1662	87	165	894	523	165	1692	1553	1578	236	390	43
NCU10610	CM002240.1;CM002240.1	701414;702690	702621;703419	-;-	1938	410	212	578	568	623	506	555	410	84	234	181	13	52	550	377	753	589	43	71	550	382	19	314	252	286	508	475	24
NCU08901	CM002240.1;CM002240.1	706787;706874	706806;709680	+;+	2827	477	440	294	703	935	852	243	203	40	348	273	16	25	160	124	194	214	17	86	550	433	105	778	742	915	74	239	14
NCU15080	CM002240.1	710313	710402	+	90	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	4	0	0
NCU08900	CM002240.1;CM002240.1;CM002240.1	712211;713448;713868	713357;713795;714133	+;+;+	1761	350	343	404	295	265	314	332	291	44	201	195	11	16	305	264	230	254	5	81	307	271	26	376	330	288	250	229	18
NCU08899	CM002240.1;CM002240.1;CM002240.1;CM002240.1	714686;716539;717025;717362	716478;716970;717303;718247	-;-;-;-	3390	923	827	1003	942	916	905	1385	1053	217	561	585	25	56	569	389	763	763	52	128	713	691	116	945	899	816	322	329	12
NCU08898	CM002240.1;CM002240.1	719749;720082	719991;722696	+;+	2858	1536	1869	1665	1783	1680	1418	3734	2599	625	556	473	30	51	1069	772	1159	1022	57	242	1130	1113	139	1317	1247	1320	728	778	45
NCU08897	CM002240.1;CM002240.1;CM002240.1	723311;724013;725460	723951;725357;725843	-;-;-	2370	8236	8352	9431	9640	9800	8974	15727	10911	2478	5445	5167	249	300	5307	3330	9339	9613	570	2230	10542	8164	1276	12774	12829	13072	3766	3797	266
NCU10185	CM002240.1;CM002240.1	726475;726614	726528;727975	+;+	1416	286	261	261	226	224	216	689	531	93	82	84	6	4	63	58	186	193	9	21	106	131	43	276	269	223	56	42	4
NCU10184	CM002240.1;CM002240.1	728163;728845	728517;730239	+;+	1750	144	106	153	131	104	102	356	286	93	57	65	0	4	54	67	140	137	4	24	127	62	21	195	213	232	59	80	4
NCU08895	CM002240.1;CM002240.1	731708;733451	733368;734323	-;-	2534	3105	2988	3542	3065	3203	3171	4723	3075	749	3461	3423	129	101	1432	1202	3428	3862	212	818	3546	2787	409	3750	3665	3912	1536	1391	84
NCU08894	CM002240.1	734860	737756	-	2897	5161	6553	5321	4852	5229	5646	8620	6499	1359	4357	4135	165	164	2443	2597	3766	3674	219	817	3853	3340	394	3911	4029	3870	4406	2720	127
NCU08893	CM002240.1;CM002240.1	738038;738554	738489;739430	+;+	1329	1520	1895	1602	1558	1771	1689	4294	3049	667	1120	957	55	50	1258	1103	960	916	79	292	1505	1095	111	965	934	1125	773	811	46
NCU08892	CM002240.1	739299	741197	-	1899	709	650	780	664	794	905	940	583	87	1037	1308	75	40	457	483	1036	1103	55	255	915	795	145	1705	1733	1471	536	537	39
NCU08891	CM002240.1	742525	746279	+	3755	2382	1872	2649	1684	1573	1899	1596	1092	229	5580	5634	290	109	1249	1500	2298	3032	139	335	1348	1131	440	4242	4405	4257	1552	1023	62
NCU11128	CM002240.1;CM002240.1	748713;749516	749372;749797	-;-	942	247	291	305	307	362	308	393	264	31	186	206	10	39	227	221	276	306	20	54	353	205	28	317	325	382	142	193	23
NCU08889	CM002240.1;CM002240.1;CM002240.1	753203;753242;754446	760233;754361;760233	+;+;+	7031	425	479	535	621	643	617	513	348	73	1730	1339	80	18	258	242	688	740	41	101	496	492	40	427	423	440	253	239	4
NCU08888	CM002240.1;CM002240.1;CM002240.1	761056;761494;762574	761378;762511;763499	+;+;+	2267	9786	14488	10575	10319	10219	11081	12169	8686	1845	13133	11626	544	390	6503	7177	6853	6662	429	1454	7288	6718	792	6412	6488	6657	11656	7251	369
NCU08887	CM002240.1;CM002240.1;CM002240.1;CM002240.1;CM002240.1	764043;764859;765307;765981;768084	764083;765181;765869;768014;768326	+;+;+;+;+	3204	83	140	57	157	166	181	125	102	12	36	48	6	4	11	24	47	47	0	0	49	18	13	23	23	44	44	22	2
NCU15613	CM002240.1	768410	768525	+	116	1	1	1	1	2	2	0	0	2	0	2	0	0	0	0	2	1	0	2	0	2	0	1	2	1	1	1	0
NCU08886	CM002240.1	768749	770793	-	2045	918	795	799	1156	1249	1180	1213	775	171	779	948	41	38	642	420	1435	2131	103	238	1011	827	218	2553	2619	2389	512	654	74
NCU15081	CM002240.1	771102	771196	-	95	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	1	2	0	0	0	0
NCU08885	CM002240.1;CM002240.1	773459;774272	774190;774595	-;-	1056	12	41	6	37	36	20	14	7	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
NCU08884	CM002240.1;CM002240.1;CM002240.1	777442;778026;778205	777860;778132;778323	+;+;+	645	19	38	27	64	56	94	92	81	13	29	32	0	2	17	37	0	3	0	18	35	36	0	2	0	0	24	24	0
NCU08883	CM002240.1;CM002240.1	780050;780695	780570;781241	-;-	1068	4	1	4	0	2	4	2	0	0	6	0	0	0	2	0	0	0	0	2	7	7	0	2	0	0	2	6	0
NCU09698	CM002240.1;CM002240.1;CM002240.1;CM002240.1	797772;798535;798979;799218	798483;798922;799163;799872	-;-;-;-	1940	831	1094	1417	1217	1238	1512	536	355	127	1925	2277	127	56	400	1167	1127	1044	73	216	1220	1033	30	155	176	194	2667	1685	70
NCU16936	CM002240.1	800922	801760	-	839	61	43	52	35	39	39	32	22	8	75	45	4	0	25	30	49	45	5	3	41	33	2	44	47	58	36	36	4
NCU09696	CM002240.1;CM002240.1	807186;807681	807565;809668	+;+	2368	3351	4136	3310	2849	2927	2885	4618	3309	645	2734	3077	137	102	1121	1204	2363	2731	175	401	1928	1721	340	3493	3567	3499	1279	1232	39
NCU09695	CM002240.1	810262	811239	-	978	111	241	117	101	117	82	255	221	43	30	41	2	2	43	44	71	98	6	6	38	34	1	12	29	29	23	51	2
NCU15082	CM002240.1	811964	812052	+	89	2	0	0	0	2	3	5	0	0	0	0	0	0	2	1	0	0	0	0	4	0	0	0	1	0	4	0	0
NCU09694	CM002240.1;CM002240.1	812314;812595	812534;813917	+;+	1544	1080	844	781	968	1222	1072	665	535	102	569	656	36	273	3725	2143	2349	2962	150	342	1546	998	258	2952	2948	2705	1848	1880	302
NCU14058	CM002240.1;CM002240.1	813830;814509	814294;814632	-;-	589	48	63	44	56	30	63	29	18	3	44	61	0	2	25	45	39	48	1	8	24	18	0	41	38	30	7	22	2
NCU09693	CM002240.1;CM002240.1;CM002240.1;CM002240.1;CM002240.1	815771;815924;816262;816262;816906	816190;816190;817560;816550;817560	+;+;+;+;+	1719	14771	11624	11392	11055	11780	11168	17672	11628	2279	12240	10722	397	897	13269	9659	25856	31497	1335	3941	18446	12383	3385	33658	34010	34999	9528	11944	699
NCU09692	CM002240.1;CM002240.1	818074;819090	819011;820387	+;+	2236	2101	2094	1691	1393	1462	1330	12635	7675	1772	1419	1362	72	45	326	329	2323	2894	170	840	3453	1966	281	2671	2570	2645	606	763	54
NCU09690	CM002240.1;CM002240.1	822340;823605	823540;824926	-;-	2523	406	435	347	315	311	388	585	364	65	256	317	13	25	170	92	351	386	22	53	272	177	39	378	436	375	163	135	9
NCU09691	CM002240.1	822372	823541	+	1170	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU09689	CM002240.1;CM002240.1	825290;826768	826711;827082	+;+	1737	838	939	791	655	560	794	739	440	98	885	943	53	34	342	407	635	712	39	183	783	538	80	862	814	762	334	418	22
NCU10659	CM002240.1;CM002240.1;CM002240.1	832626;832691;833587	832637;833525;833762	+;+;+	1023	19	42	18	12	36	28	35	22	0	2	13	0	0	0	2	16	8	0	2	24	2	0	22	13	2	3	6	0
NCU09688	CM002240.1;CM002240.1;CM002240.1;CM002240.1	834556;835141;836376;836586	835062;836238;836504;837016	-;-;-;-	2165	4018	3795	3688	3981	4058	3851	6369	4356	849	1686	1573	62	99	1547	1526	3831	4080	185	729	3517	2900	432	4852	4828	4818	1197	1631	89
NCU09687	CM002240.1;CM002240.1;CM002240.1;CM002240.1;CM002240.1	838659;839029;839549;839923;840179	838857;839078;839658;840042;840203	-;-;-;-;-	504	15	2	7	10	6	8	2	6	1	0	8	0	0	18	4	17	5	0	0	6	13	3	16	16	15	9	5	0
NCU09686	CM002240.1;CM002240.1	840771;842355	842298;844153	+;+	3327	1445	1366	1379	1242	1266	1314	1873	1367	292	1303	1264	86	36	653	590	1086	1216	76	242	1003	819	171	1606	1811	1750	515	571	30
NCU09685	CM002240.1	844178	844706	-	529	35	22	31	31	49	41	86	55	7	7	11	0	2	0	7	87	128	5	70	169	99	5	46	32	39	34	24	2
NCU15083	CM002240.1	845609	845679	+	71	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
NCU16939	CM002240.1	846343	846893	+	551	31	48	36	102	102	109	153	74	10	12	23	0	2	27	28	30	23	2	10	31	39	2	26	24	29	20	23	0
NCU16940	CM002240.1	847716	848306	+	591	21	23	11	35	61	84	71	44	12	8	13	2	0	6	10	8	6	0	2	24	10	0	5	8	8	7	12	0
NCU09683	CM002240.1;CM002240.1	848382;849431	849364;849729	-;-	1282	821	2336	863	615	694	759	786	530	149	1198	1152	56	2	188	258	275	255	19	124	480	349	8	159	255	227	349	237	8
NCU09682	CM002240.1	849786	850960	-	1175	2123	2485	2205	1708	1885	1938	1960	1242	302	1709	1989	83	84	971	952	2054	2252	137	588	2353	1814	250	2623	2583	2518	1211	1285	80
NCU09681	CM002240.1	855791	858064	+	2274	959	1353	988	997	1113	1161	1051	793	172	1093	1176	32	22	483	383	800	747	46	191	754	780	114	832	882	988	613	419	33
NCU09680	CM002240.1;CM002240.1	858215;859637	859574;859731	-;-	1455	396	580	461	513	525	503	1044	763	152	330	266	20	14	210	158	457	461	12	79	607	421	53	476	511	493	306	252	12
NCU16941	CM002240.1	859965	860429	-	465	181	149	139	175	183	149	301	242	37	119	109	1	3	31	26	159	171	10	33	108	123	21	147	209	213	63	45	0
NCU09679	CM002240.1	860567	862129	-	1563	396	395	332	368	406	362	637	485	104	222	182	6	9	71	66	415	375	22	83	255	273	24	367	379	348	79	79	2
NCU09678	CM002240.1;CM002240.1;CM002240.1	863452;864059;864719	864001;864652;865559	+;+;+	1985	31	107	58	52	45	51	108	74	10	181	190	14	2	14	36	56	46	5	14	56	20	7	38	34	27	34	17	2
NCU09677	CM002240.1;CM002240.1;CM002240.1;CM002240.1	868101;869440;869657;869923	869364;869587;869867;871482	+;+;+;+	3183	1261	1020	1350	943	900	864	1388	846	212	797	1009	40	47	570	617	1311	1588	64	138	767	543	160	2031	2135	2092	528	486	38
NCU09676	CM002240.1;CM002240.1	871157;872574	872500;873401	-;-	2172	662	593	623	864	1067	955	932	456	123	886	830	43	19	233	232	654	641	58	522	1858	1426	88	590	695	573	327	216	15
NCU09674	CM002240.1	874680	875898	+	1219	4787	6117	4802	5321	5857	6252	6370	4427	930	8082	7167	379	128	2799	3544	4769	4873	292	1212	5724	3890	473	4942	4693	4792	5618	3226	133
NCU09673	CM002240.1;CM002240.1;CM002240.1	876423;876963;878028	876871;877932;878896	+;+;+	2288	2428	2369	2454	2180	2468	2465	3743	2736	586	1719	1665	71	46	901	945	2127	2284	119	355	1747	1484	230	2083	2125	2265	752	791	41
NCU09672	CM002240.1;CM002240.1	879140;879470	879388;880577	+;+	1357	56	49	50	52	63	47	104	80	17	48	45	2	0	26	32	63	66	1	25	93	62	11	54	80	52	39	10	4
NCU09671	CM002240.1	881175	881915	+	741	22	23	29	31	28	43	53	49	13	15	5	2	0	4	5	8	11	0	2	13	13	0	9	3	10	2	4	0
NCU09670	CM002240.1	882123	883776	-	1654	817	655	646	836	983	797	1680	1072	239	242	244	14	20	196	145	1027	1334	63	182	682	502	156	1765	1753	1563	247	344	14
NCU16942	CM002240.1;CM002240.1;CM002240.1;CM002240.1	883997;884914;886709;888294	884847;886649;888242;888431	-;-;-;-	4259	277	208	291	421	445	426	525	379	71	601	511	22	18	64	63	411	488	26	116	376	238	42	341	357	341	90	101	10
NCU09669	CM002240.1;CM002240.1;CM002240.1;CM002240.1	889013;889226;889994;890358	889150;889867;890287;890893	-;-;-;-	1610	129	86	114	186	224	223	219	226	69	262	214	7	11	46	43	221	179	16	76	282	225	19	138	154	190	54	58	4
NCU15084	CM002240.1	891198	891269	+	72	0	0	0	0	3	5	0	2	0	1	1	0	0	2	0	0	0	0	0	1	2	0	0	0	1	2	0	0
NCU09667	CM002240.1;CM002240.1;CM002240.1	897183;897332;897720	897195;897343;897949	-;-;-	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NCU15085	CM002240.1	922335	922421	-	87	2	5	0	4	6	4	10	12	3	0	2	0	2	9	0	0	0	0	0	17	3	0	0	0	2	0	0	0
NCU15086	CM002240.1	1017371	1017457	-	87	2	12	1	2	3	5	34	20	3	1	0	0	0	0	0	0	0	0	5	25	36	0	0	0	0	0	0	0
NCU15087	CM002240.1	1218584	1218655	+	72	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	1	0	4	1	0	0	0	0	0	2	0	0
NCU16947	CM002240.1;CM002240.1;CM002240.1;CM002240.1;CM002240.1	1219125;1220565;1220719;1221132;1221330	1220462;1220632;1221043;1221264;1221777	+;+;+;+;+	2312	770	704	772	931	1092	1044	1813	1204	274	555	600	20	25	322	336	900	1115	45	281	1291	787	118	1062	1092	1109	331	359	17
NCU04676	CM002240.1;CM002240.1	1221924;1222841	1222780;1223579	+;+	1596	6570	5206	7168	8293	8483	8517	11437	7587	1753	2526	2810	140	236	3783	3236	7965	9049	454	2086	9956	6320	909	9265	9818	9922	2841	3231	250
NCU04675	CM002240.1;CM002240.1;CM002240.1;CM002240.1	1228043;1228888;1229000;1229142	1228796;1228927;1229051;1230082	+;+;+;+	1787	8869	14588	10697	9272	9713	10531	7126	4821	1162	9387	9763	407	185	1981	3721	6487	7194	476	2499	10562	8744	771	7274	7304	7541	4553	3715	170
NCU04674	CM002240.1;CM002240.1;CM002240.1;CM002240.1	1229388;1232153;1232519;1233060	1232076;1232448;1232966;1233183	-;-;-;-	3557	254	200	257	287	302	249	309	239	58	158	155	10	11	68	62	286	431	28	78	289	217	13	315	292	307	138	85	4
NCU04673	CM002240.1;CM002240.1;CM002240.1	1233631;1236152;1236625	1236089;1236567;1237658	-;-;-	3909	1711	1735	1771	1768	1978	1942	2624	1719	404	1481	1449	74	39	781	606	1723	1951	116	350	1549	1412	251	2502	2614	2782	560	603	38
NCU16948	CM002240.1	1238838	1239627	+	790	36	27	31	28	30	38	41	29	6	32	32	1	1	25	35	40	55	2	6	80	19	2	43	43	40	20	13	4
NCU04672	CM002240.1;CM002240.1;CM002240.1;CM002240.1;CM002240.1	1240122;1240145;1241357;1241357;1242052	1241276;1241276;1241964;1242530;1242530	-;-;-;-;-	2329	645	1114	770	1049	994	1334	815	581	129	1104	1219	62	37	864	528	498	435	39	180	726	639	25	318	376	369	395	421	29
NCU14059	CM002240.1;CM002240.1	1242176;1242682	1242601;1242964	-;-	709	3	2	18	6	5	5	4	7	0	8	6	0	0	1	3	7	3	0	0	7	2	3	5	7	2	0	0	0
NCU04671	CM002240.1;CM002240.1;CM002240.1;CM002240.1;CM002240.1	1243113;1245147;1245625;1246238;1246435	1245088;1245552;1246166;1246314;1246647	-;-;-;-;-	3214	3376	3903	2631	3533	3947	3644	3113	2158	476	2516	2358	70	56	1080	1001	1984	2440	149	469	2453	1956	355	3545	3709	3636	722	936	50
NCU04670	CM002240.1;CM002240.1;CM002240.1;CM002240.1;CM002240.1;CM002240.1	1249646;1249646;1251802;1251802;1252440;1252500	1251744;1251744;1252372;1252372;1252463;1253257	-;-;-;-;-;-	3452	1374	1591	1347	1080	1192	1263	1814	1272	277	1255	1316	41	48	474	524	1032	1036	81	207	760	761	173	1661	1703	1573	446	458	25
NCU04669	CM002240.1;CM002240.1	1253677;1255084	1255017;1257315	+;+	3573	5608	4055	5637	5762	5978	5958	10712	7505	1657	3746	3693	135	126	1152	1313	7383	9353	486	1918	7637	5726	789	8223	8247	8560	1726	1690	123
NCU11309	CM002240.1;CM002240.1;CM002240.1	1257920;1258903;1259078	1258848;1259019;1259592	+;+;+	1561	72	38	58	69	69	73	27	31	0	36	44	6	5	60	24	26	128	0	7	50	38	10	101	94	99	12	36	2
NCU04667	CM002240.1;CM002240.1	1259817;1261829	1261731;1262554	+;+	2641	1611	879	1179	975	1124	1110	888	711	164	714	618	18	52	314	263	1989	3286	121	547	1738	1138	176	1688	1791	1753	772	676	87
NCU10799	CM002240.1;CM002240.1	1263117;1263245	1263184;1263867	+;+	691	57	63	40	38	55	17	140	104	26	4	12	0	0	18	5	9	6	4	4	20	10	3	14	11	8	5	6	0
NCU15614	CM002240.1	1264994	1265093	-	100	2	1	2	0	2	0	2	0	1	3	1	0	0	2	2	1	0	0	0	2	0	0	1	2	1	0	2	0
NCU15088	CM002240.1	1269118	1269189	-	72	4	1	5	7	2	1	4	4	0	2	4	0	0	3	0	5	1	1	2	6	4	1	0	4	6	5	3	0
NCU04665	CM002240.1;CM002240.1	1272090;1272596	1272517;1274052	+;+	1885	518	430	483	315	405	330	572	496	119	159	181	11	13	213	183	386	537	16	42	222	239	65	691	676	647	171	190	8
NCU14060	CM002240.1;CM002240.1	1282690;1283138	1282976;1283662	+;+	812	58	56	47	37	44	32	47	12	7	34	53	0	6	63	34	32	43	0	4	28	24	4	42	55	49	17	21	0
NCU04663	CM002240.1;CM002240.1;CM002240.1;CM002240.1;CM002240.1;CM002240.1;CM002240.1	1283583;1284026;1285478;1285646;1287164;1287338;1288027	1283738;1285386;1285587;1287112;1287280;1287967;1288790	+;+;+;+;+;+;+	4605	1471	1886	1543	1563	1570	1532	1614	1179	207	981	1089	27	35	439	365	1134	1193	60	232	813	869	98	1320	1384	1304	318	298	9
NCU04662	CM002240.1;CM002240.1;CM002240.1;CM002240.1	1289745;1290462;1290754;1290924	1290371;1290668;1290841;1292131	-;-;-;-	2130	877	831	767	814	1020	1035	1773	853	308	908	987	52	46	468	326	920	1504	85	354	2080	1218	160	1310	1362	1547	328	381	10
NCU14061	CM002240.1	1293281	1294282	+	1002	15	18	11	30	18	13	15	7	3	7	16	0	0	0	12	16	14	2	0	12	3	0	17	23	30	4	5	0
NCU04661	CM002240.1;CM002240.1	1294457;1296602	1296537;1299289	-;-	4769	136	168	169	212	257	204	261	138	41	482	487	12	10	220	90	247	263	21	25	233	142	21	233	239	218	141	91	18
NCU04658	CM002240.1;CM002240.1	1312384;1312552	1312459;1312981	+;+	506	27	36	21	16	33	33	29	11	2	30	41	0	0	12	21	36	36	4	4	28	31	5	25	42	38	27	11	0
NCU04657	CM002240.1;CM002240.1	1315796;1316084	1315998;1317038	+;+	1158	295	415	356	277	269	376	289	206	41	201	241	14	28	188	204	141	97	19	30	127	122	18	144	153	162	133	136	14
NCU04656	CM002240.1;CM002240.1;CM002240.1	1317299;1318160;1319122	1318105;1319063;1320527	+;+;+	3117	17728	28701	19743	16852	17219	20925	14773	10585	2380	15992	15686	604	664	8553	10275	9636	10052	670	2109	9713	8654	1009	10048	10194	10582	11119	8497	411
NCU04655	CM002240.1	1320580	1321885	-	1306	3300	2887	3381	3651	4083	4482	4679	3054	673	2005	2408	98	239	3941	2536	6088	6754	398	1223	5261	3922	577	6455	6574	6009	3807	3325	372
NCU04654	CM002240.1;CM002240.1	1322211;1323611	1323559;1324220	-;-	1959	631	774	643	664	748	711	675	508	112	469	433	12	27	391	314	571	578	41	145	613	472	57	632	626	618	397	366	20
NCU04653	CM002240.1	1324791	1327433	+	2643	1274	1357	1203	923	966	911	1008	805	188	885	884	38	38	755	595	752	878	45	129	671	523	98	835	907	878	795	688	42
NCU04652	CM002240.1;CM002240.1;CM002240.1;CM002240.1;CM002240.1	1327586;1330007;1330286;1330926;1331100	1329948;1330232;1330866;1331044;1331540	-;-;-;-;-	3730	2519	2956	2644	2657	2587	2725	3648	2726	563	2187	2049	94	40	708	735	2477	2809	152	457	1910	1874	267	2831	2512	2950	824	703	32
NCU04651	CM002240.1;CM002240.1;CM002240.1;CM002240.1	1331840;1332545;1332809;1333026	1332472;1332751;1332967;1334285	+;+;+;+	2259	2198	2579	2391	2166	2247	2149	3226	2268	527	1678	1834	73	58	1025	1089	1981	2243	137	485	2087	1610	334	2927	3185	3330	958	1083	47
NCU04650	CM002240.1;CM002240.1;CM002240.1;CM002240.1;CM002240.1;CM002240.1;CM002240.1;CM002240.1;CM002240.1;CM002240.1;CM002240.1;CM002240.1;CM002240.1;CM002240.1	1335143;1336035;1336124;1336124;1336352;1337316;1337316;1337316;1339355;1339355;1339355;1340113;1340113;1340113	1335552;1336071;1337189;1337189;1337189;1339293;1339293;1339293;1340038;1340023;1340023;1340675;1340675;1340675	+;+;+;+;+;+;+;+;+;+;+;+;+;+	4738	3387	3300	3254	3250	3263	3210	3426	2508	453	2295	2237	98	184	1908	1393	3178	3521	180	496	2591	2249	378	4015	4040	3953	2314	1788	99
NCU04649	CM002240.1	1340804	1342368	-	1565	273	430	361	336	403	300	738	532	121	100	98	0	6	155	123	242	205	12	34	232	185	26	275	315	283	117	125	2
